"P_K","Vendor","EDI","IssDt","NdNw","Updtd","Rep","Cmnts"
1,"Alaffia","EDI-ALAFFIA","2019-07-12","no","yes","titus","Alaffia catalog as of 2019-07-12"
2,"Alberts Organics","EDI-ALBERTS","not in Titus","?","?","titus","Alberts catalog as of 2019-05-27"
3,"Alive and Well","EDI-ALIVEANDWELL","not in Titus","?","?","titus","empty"
4,"Aloe Life","EDI-ALOE","2018-04-01","yes","yes","titus","Aloe Life catalog as of 2018-04-01"
5,"Amazing Grass","EDI-AMAZING","5/22/2019","no","yes","titus","Amazing Grass catalog as of 2019-07-10"
6,"Ananda Hemp","EDI-ANANDA","2019-07-19","no","?","titus","*NOT IN EDI*"
7,"Ancient Nutrition","EDI-ANCIENT","not in Titus","?","?","titus","Ancient Nutrition catalog as of 2018-12-01"
8,"Badger Balm","EDI-BADGER","9/6/2018","yes","yes","titus","Badger Balm catalog as of 2019-07-04"
9,"Banyan Botanicals","EDI-BANYAN","not in Titus","?","?","titus","empty"
10,"Barleans Organic Oils","EDI-BARLEANS","2019-07-19","no","yes","titus","Barleans catalog as of 2018-07-19"
11,"Bass Brush Company","EDI-BASS","not in Titus","?","?","titus","*NOT IN EDI*"
12,"Bees Wrap","EDI-BEESWRAP","in Titus, but what is this?","?","?","titus","empty"
13,"Bell Lifestyle Products","EDI-BELL-LIFE","7/11/2019","no","yes","titus","Bell Lifestyle catalog as of 2019-07-11"
14,"BeTru Wellness","EDI-BETRU","not in Titus","?","?","titus","BeTru catalog as of 2018-05-01"
15,"Bluebonnet Nutrition","EDI-BBONNET","8/14/2018","no","yes","titus","Bluebonnet catalog as of 2019-07-09"
16,"Bluegrass Hemp","EDI-BLUEHEMP","not in Titus","?","?","titus","empty"
17,"BlueQ","EDI-BLUEQ","7/11/2019","no","yes","titus","BlueQ catalog as of 2019-07-12"
18,"Bodyceuticals","EDI-BODYCEUTICALS","not in Titus","?","?","titus","Bodyceutical catalog as of 2017-02-01"
19,"Boiron","EDI-BOIRON","7/11/2019","no","yes","titus","Boiron catalog as of 2019-07-15"
20,"Buried Treasure","EDI-TREASURE","1/1/2019","no","yes","titus","Buried Treasure catalog as of 2019-07-05"
21,"Burmeister Ginseng","EDI-BURMEISTER","not in Titus","?","?","titus","empty"
22,"Carlson Labs","EDI-CARLSON","9/17/2019","no","yes","titus","Carlson Labs catalog as of 2019-07-17"
23,"Catapult","Catapult","","","","titus","VIEW"
24,"Charlottes Web","EDI-CHARLOTTE","6/1/2019","no","yes","titus","Charlottes Web catalog as of 2019-06-01"
25,"ChicoBag","EDI-CHICO","not in Titus","?","?","titus","ChicoBag catalog as of 2017-12-28"
26,"CocoRoo","EDI-COCOROO","not in Titus","?","?","titus","empty"
27,"Country Life","EDI-CLIFE","not in Titus","?","?","titus","Country Life catalog as of 2017-03-27"
28,"Crosset","EDI-CROSSET","not in Titus","?","?","titus","Crosset catalog as of 2018-12-30"
29,"CV Sciences","EDI-CVSCIENCES","5/1/2019","no","yes","titus","CV Sciences catalog as of 2019-04-30"
30,"Dirt Bag Beauty","EDI-DIRTBAG","not in Titus","?","?","titus","empty"
