"vendorName,ediName,issueDate,needNewCat,updatedWLatest,reporter,comments"
"Alaffia","EDI-ALAFFIA","7/12/2019","no","yes","titus","Alaffia catalog as of 2019-07-12"
"Alberts Organics","EDI-ALBERTS","not in Titus","?","?","titus","Alberts catalog as of 2019-05-27"
"Alive and Well","EDI-ALIVEANDWELL","not in Titus","?","?","titus","empty"
"Aloe Life","EDI-ALOE","4/1/2018","yes","yes","titus","Aloe Life catalog as of 2018-04-01"
"Amazing Grass","EDI-AMAZING","5/22/2019","no","yes","titus","Amazing Grass catalog as of 2019-07-10"
"Ananda Hemp","EDI-ANANDA","12/1/2018","yes","?","titus","empty"
"Ancient Nutrition","EDI-ANCIENT","not in Titus","?","?","titus","Ancient Nutrition catalog as of 2018-12-01"
"Badger Balm","EDI-BADGER","9/6/2018","yes","yes","titus","Badger Balm catalog as of 2019-07-04"
"Banyan Botanicals","EDI-BANYAN","not in Titus","?","?","titus","empty"
"Barleans Organic Oils","EDI-BARLEANS","not in Titus","?","?","titus","Barleans catalog as of 2018-10-17"
"Bass Brush Company","EDI-BASS","not in Titus","?","?","titus","empty"
"Bees Wrap","EDI-BEESWRAP","in Titus, but what is this?","?","?","titus","empty"
"Bell Lifestyle Products","EDI-BELL-LIFE","7/11/2019","no","yes","titus","Bell Lifestyle catalog as of 2019-07-11"
"BeTru Wellness","EDI-BETRU","not in Titus","?","?","titus","BeTru catalog as of 2018-05-01"
"Bluebonnet Nutrition","EDI-BBONNET","8/14/2018","no","yes","titus","Bluebonnet catalog as of 2019-07-09"
"Bluegrass Hemp","EDI-BLUEHEMP","not in Titus","?","?","titus","empty"
"BlueQ","EDI-BLUEQ","7/11/2019","no","yes","titus","BlueQ catalog as of 2019-07-12"
"Bodyceuticals","EDI-BODYCEUTICALS","not in Titus","?","?","titus","Bodyceutical catalog as of 2017-02-01"
"Boiron","EDI-BOIRON","7/11/2019","no","yes","titus","Boiron catalog as of 2019-07-15"
"Buried Treasure","EDI-TREASURE","1/1/2019","no","yes","titus","Buried Treasure catalog as of 2019-07-05"
"Burmeister Ginseng","EDI-BURMEISTER","not in Titus","?","?","titus","empty"
"Carlson Labs","EDI-CARLSON","9/17/2019","no","yes","titus","Carlson Labs catalog as of 2019-07-17"
"Catapult","Catapult","","","","titus","VIEW"
"Charlottes Web","EDI-CHARLOTTE","6/1/2019","no","yes","titus","Charlottes Web catalog as of 2019-06-01"
"ChicoBag","EDI-CHICO","not in Titus","?","?","titus","ChicoBag catalog as of 2017-12-28"
"CocoRoo","EDI-COCOROO","not in Titus","?","?","titus","empty"
"Country Life","EDI-CLIFE","not in Titus","?","?","titus","Country Life catalog as of 2017-03-27"
"Crosset","EDI-CROSSET","not in Titus","?","?","titus","Crosset catalog as of 2018-12-30"
"CV Sciences","EDI-CVSCIENCES","5/1/2019","no","yes","titus","CV Sciences catalog as of 2019-04-30"
"Dirt Bag Beauty","EDI-DIRTBAG","not in Titus","?","?","titus","empty"
"Down To Earth","EDI-DOWNTOEARTH","not in Titus","?","?","titus","Down To Earth catalog as of 2018-01-23"
"Dr. Dunner","EDI-DRDUNNER","not in Titus","?","?","titus","empty"
"Earth Dreams Jewelry","EDI-EARTHDREAMS","not in Titus","?","?","titus","Earth Dreams catalog as of 2017-12-07"
"EarthyBrowns","EDI-EARTHY","not in Titus","?","?","titus","EarthyBrowns catalog as of 2017-06-22"
"eeBoo","EDI-EEBOO","not in Titus","?","?","titus","empty"
"Enzymedica","EDI-ENZYME","7/15/2019","no","yes","titus","Enzymedica catalog as of 2019-07-15"
"Flora Health","EDI-FLORA","6/1/2019 (price change; check if updated in db)","no","yes","titus","Florahealth catalog as of 2019-07-17"
"Frontier Coop","EDI-FRONTIER","not in Titus","?","?","titus","Frontier catalog data as of 2017-11-01"
"Frontier Distributing","EDI-FRONTDIST","not in Titus","?","?","titus","Frontier Distribution catalog as of 2017-02-22"
"Fungi Perfecti","EDI-FUNGI","9/1/2018","yes","yes","titus","Fungi Perfecti catalog as of 2018-09-01"
"Gaia Herbs","EDI-GAIA","12/14/2018","yes","yes","titus","Gaia catalog as of 2019-07-09"
"Garden of Life","EDI-GARDEN","5/1/2019 (price changes)","no","yes","titus","GOL catalog as of 2019-04-30"
"Graeters","EDI-GRAETERS","not in Titus","?","?","titus","empty"
"Heine Brothers Coffee","EDI-HEINE","not in Titus","?","?","titus","Heine Brothers catalog as of 2017-03-01"
"HempFusion","EDI-HEMPFUSION","12/14/2018","yes","yes","titus","HempFusion catalog as of 2018-12-14"
"Herbs Etc.","EDI-HERBSETC","not in Titus","?","?","titus","Herbs Etc catalog as of 2017-05-25"
"Himalaya","EDI-HIMALAYA","1/1/2019 NEED TO UPDATE","yes","no","titus","Himalaya catalog as of 2017-04-01"
"Hippie Homesteader","EDI-HIPPIEHOME","2019","no","yes","titus","Hippie Homesteader catalog as of 2019-01-30"
"Humble Brands","EDI-HUMBLE","not in Titus","?","?","titus","Humble Brands catalog as of 2018-09-23"
"Indigo Wild","EDI-INDIGO","5/1/2018","yes","no","titus","Indigo Wild catalog as of 2017-11-20"
"Indy Fruit","EDI-INDYFRUIT","not in Titus","apparently not","apparently so","titus","Indy Fruit catalog as of 2019-07-17"
"Irwin Naturals","EDI-IRWIN","not in Titus","?","?","titus","Irwin Naturals catalog as of 2016-07-16"
"Jack N Jill","EDI-JACKNJILL","2018","yes","? - check","titus","empty"
"Juniper Ridge","EDI-JUNIPER","not in Titus","?","?","titus","Juniper Ridge catalog as of 2018-09-05"
"KeHE","EDI-KEHE","8/1/2019","no","yes","titus","KeHE catalog as of 2019-07-10"
"Klean Kanteen","EDI-KANTEEN","9/13/2018","yes","no","titus","Klean Kanteen catalog as of 2018-01-01"
"LifeFactory","EDI-LIFEFACTORY","not in Titus","?","?","titus","Lifefactory catalog as of 2017-10"
"LifeSeasons","EDI-LIFESEASONS","3/1/2019 (price changes)","no","yes","titus","LifeSeasons catalog as of 2019-03-26"
"Lotsa Pasta","EDI-LOTSAPASTA","not in Titus","?","?","titus","empty"
"Lotus Light","EDI-LOTUS","not in Titus","?","?","titus","Lotus Light catalog as of 2017-11-01"
"Maggies Organics","EDI-MAGGIES","not in Titus","?","?","titus","Maggies catalog as of 2018-10-30"
"Marquet Fair Trade","EDI-MARQUET","not in Titus","?","?","titus","Marquet catalog as of 2018-11-01"
"Matrix Aromatherapy","EDI-MATRIX","9/1/2018","yes","?","titus","empty"
"MegaFood","EDI-MEGAFOOD","not in Titus","apparently so","?","titus","MegaFood catalog as of 2017-05-03"
"MG12","EDI-MG12","not in Titus","apparently so","?","titus","MG12 catalog as of 2017-05-23"
"Mineral Fusion","EDI-MINERAL","not in Titus","apparently so","?","titus","Mineral Fusion catalog as of 2018-06-01"
"Momma Goose","EDI-MOMMAGOOSE","not in Titus","apparently so","?","titus","Momma Goose catalog as of 2018-03-22"
"Motherlove","EDI-MOTHERLOVE","not in Titus","apparently so","?","titus","Motherlove catalog as of 2018-04-01"
"My Magic Mud","EDI-MYMAGICMUD","not in Titus","apparently so","?","titus","My Magic Mud catalog as of 2018-10-10"
"Nantucket Spider","EDI-SPIDER","not in Titus","apparently so","?","titus","Nantucket Spider catalog as of 2017-10-16"
"Natren","EDI-NATREN","7/12/2019","no","?","titus","Natren catalog as of 2017-07-15"
"Natural Factors","EDI-NATFACT","not in Titus","apparently so ","?","titus","Natural Factors catalog as of 2017-02-21"
"Natures Plus","EDI-NATURESPLUS","not in Titus","apparently so ","?","titus","Natures Plus catalog as of 2017-04-21"
"Natures Way","EDI-NATWAY","not in Titus","apparently so","?","titus","Natures Way catalog as of 2016-10-28"
"New Chapter","EDI-NEWCHAPTER","12/19/2019","yes","yes","titus","New Chapter catalog as of 2016-12-19"
"New Wave Enviro","EDI-NWENVIRO","2018","yes","no","titus","New Wave Enviro catalog as of 2017-06-21"
"Nordic Naturals","EDI-NORDIC","7/12/2019","no","yes","titus","Nordic Naturals catalog as of 2019-07-15"
"Now Foods","EDI-NOW","not in Titus","apparently so","?","titus","Now Foods catalog as of 2016-10-27"
"Nutraceutical Corp","EDI-NUTRA","1/2/2019","no","yes","titus","Nutraceutical catalog as of 2019-01-09"
"Nutranext","EDI-NUTRANEXT","not in Titus","?","?","titus","empty"
"NutraSpark","EDI-NUTRASPARK","not in Titus","apparently so","?","titus","NutraSpark catalog as of 2017-01-25"
"NutriGold","EDI-NUTRIGOLD","not in Titus","apparently so","?","titus","NutriGold catalog as of 2018-02-23"
"OR Supplements","EDI-ORSUPPS","not in Titus","?","?","titus","empty"
